exam,official_cutoff_url,verified,note
Haryana Bachelor of Arts Entrance Examination,https://admissions.highereduhry.ac.in/,False,"Official Directorate of Higher Education (DHE), Haryana centralized online admission portal where BA merit/selection lists are published (via 'Know your result'). Admission is merit-based on Class 12 "
Haryana Bachelor of Business Administration Admission,https://admissions.highereduhry.ac.in/,False,Same official DHE Haryana centralized online admission portal; BBA merit/selection lists published here. Merit-based on Class 12 marks (no entrance exam ranks). Linked from verified page https://highe
Himachal Pradesh Bachelor of Arts Entrance Examination,https://www.hpuniv.ac.in/innerpage/view_admission_notice_archive.php,True,"Himachal Pradesh University (official .ac.in) admission notices page — UG admission (incl. BA) is merit-based on qualifying-exam marks, with course-wise merit lists released as admission notices by th"
Himachal Pradesh Bachelor of Business Administration Admission,https://www.hpuniv.ac.in/innerpage/view_admission_notice_archive.php,True,Himachal Pradesh University official admission notices page; BBA UG admission is merit-based (qualifying-exam marks) with merit lists published as admission notices. No static cutoff/rank table. Verif
Himachal Pradesh Polytechnic Admission Test,https://www.hptechboard.com/results-pat,False,"Official Himachal Pradesh Takniki Shiksha Board (HPTSB), Dharamshala PAT results/counselling page (conducting body for the HP Polytechnic Admission Test / HP PAT). Publishes PAT result gazette and sea"
Himachal Pradesh Polytechnic Entrance,https://www.hptechboard.com/results-pat,False,Same exam as HP PAT (HP Polytechnic Admission Test) conducted by HPTSB Dharamshala. Official PAT results/counselling page where result gazette and seat-allotment cutoffs are published. Returns HTTP 40
Indian Institute of Petroleum and Energy Entrance Examination,https://iipe.ac.in/Academics/Cutoff.html,True,"Official IIPE Visakhapatnam (.ac.in) cutoff page listing B.Tech (JoSAA/JEE-Advanced) and M.Sc category-wise closing ranks by year, with downloadable PDFs e.g. https://iipe.ac.in/Academics/pdf/CUT%20OF"
Indian Institute of Science Bachelor of Science Research Admission,https://iisc.ac.in/wp-content/uploads/2025/08/BS-PROGRAM-CUT-OFFS-2021-2025_AR_final.pdf,True,"Official IISc-published PDF 'Year-wise Cutoff for Bachelor of Science (Research) Programme' (2021-2025), JEE-Advanced category-rank cutoffs. URL resolves to the official iisc.ac.in domain (matches exi"
Indian Institute of Space Science and Technology Admission,https://www.iist.ac.in/admission/undergraduate-admissions-statistics,True,Official IIST 'Undergraduate Admissions: Statistics' page showing opening/closing JEE-Advanced percentages and admission ranks by category (General/EWS/OBC/SC/ST) per programme for 2017-2025. More spe
Indian Institutes of Science Education and Research Aptitude Test,https://iiseradmission.in/,False,Official IISER Joint Admissions Committee portal (iiseradmission.in) where round-wise IAT cutoffs / merit list / seat allotment are published. Actual cutoff and merit-list data are behind candidate lo
Indira Gandhi National Tribal University Entrance Examination Folk Literature,https://igntu.ac.in/ETResult2025/Result%20UG%20PG%20Open%20Counselling.pdf,True,Official IGNTU 'Provisional Selection List - Second Open Counselling (UG/PG Admission 2025-26)' PDF on igntu.ac.in. Contains the selected-candidate merit list for B.A. (Tribal Studies-Art-Culture & Fo
Indira Kala Sangeet University Entrance,https://www.iksv.ac.in/portal/admission,True,"Official admission page of Rajkumari Indira Singh Kala Sangeet Vishwavidyalaya (IKSV), Khairagarh (iksv.ac.in). Publishes audition/aptitude 'Selected Students' merit lists (2025-26 List II/III) across"
Institute of Hotel Management Catering Technology Entrance Vegetarian Culinary Arts,https://nchmcounselling.nic.in/or-cr/,True,Official NCHMCT e-counselling OR-CR (opening-closing rank) page on nchmcounselling.nic.in. NCHM JEE is the national entrance for IHM B.Sc Hospitality/Culinary programmes; institute-wise opening/closin
Integrated Bachelor of Arts and Bachelor of Education Entrance Examination,https://exams.nta.nic.in/ncet/,True,Official NTA NCET portal (exams.nta.nic.in/ncet) - the National Common Entrance Test conducted by NTA on behalf of NCTE for the 4-year Integrated Teacher Education Programme (includes integrated BA B.
Jamia Millia Islamia Mass Communication Entrance,https://admission.jmi.ac.in/,True,"Official JMI admission portal (verified, contact admission@jmi.ac.in). Publishes entrance results and merit lists via its 'Click for Results' / EntranceResults section; AJK MCRC Mass Communication ent"
Jamia Social Work Entrance,https://admission.jmi.ac.in/,True,Official JMI admission portal (verified). PG MA/MSW Social Work entrance merit list is published here under the results section; JMI admits to PG courses via offline entrance test and posts a programm
Jawaharlal Institute of Postgraduate Medical Education and Research Nursing Entrance Examination,https://jipmer.edu.in/announcement/bsc-nursing-ahs-courses-counselling%E2%80%93-2025-26-academic-year,False,Official JIPMER B.Sc (Nursing/AHS) counselling & merit-list announcement page (more specific than the previous /education/undergraduate URL). Confirmed via search to host the provisional/category-wise
Jharkhand Bachelor of Business Administration Admission,https://jharkhanduniversities.nic.in/,False,"Replaced the third-party shiksha link. The Jharkhand Chancellor Portal (jharkhanduniversities.nic.in) is the official admissions portal for Jharkhand state universities, but there is no centralised of"
Jharkhand Combined Entrance Competitive Examination Pre Polytechnic Test,https://jceceb.jharkhand.gov.in/,True,"Official JCECEB board site (verified) — the body that conducts the Jharkhand Pre-Polytechnic / PECE polytechnic entrance and publishes its merit list, counselling notices and seat allotment. The dedic"
Joint Entrance Test Agriculture,https://jetskrau2026.com/,True,"Official Rajasthan JET (Joint Entrance Test, Agriculture) portal of Swami Keshwanand Rajasthan Agricultural University (SKRAU), Bikaner (verified) — the body that releases the JET result, merit/rank l"
Kalinga Institute of Industrial Technology Entrance Examination Management Undergraduate,https://admission.kiit.ac.in/management/,False,Official KIIT/KSOM management (MBA/BBA via KIITEE) admission page on the kiit.ac.in domain. Fetch returned a transient connection error (ECONNREFUSED) and the main admission site kiitee.kiit.ac.in ret
Kashmir Polytechnic Entrance,https://jkbote.ac.in/notice.php,True,"Polytechnic/diploma admission in J&K and Ladakh is handled by JKBOTE (Jammu & Kashmir Board of Technical Education), not JKBOPEE. This notices page lists the official 'Provisional Merit List' and 'Pro"
Kerala Nursing Entrance Examination,https://lbscentre.in/paramnursingnew/downloads/lastrank.pdf,True,"Kerala BSc Nursing admission is conducted by LBS Centre for Science & Technology (Govt. of Kerala), NOT KEAM/CEE. Replaced the wrong cee.kerala.gov.in/keam-2025 link. This is the official 'last rank' "
Kerala Paramedical Entrance Examination,https://lbscentre.in/paramnursingnew/downloads/lastrank.pdf,True,"Kerala Paramedical admission is conducted by LBS Centre for Science & Technology (Govt. of Kerala). This official last-rank PDF (loaded, 191KB) covers paramedical streams; live rank-list filter page i"
Kerala Polytechnic Entrance Examination,https://www.polyadmission.org/,True,"Official DTE Kerala / SITTTR polytechnic (diploma) admission portal, verified live. Diploma admission sub-portal is polyadmission.org/diploma. Rank list and seat allotment ('last index' cutoffs) are r"
Ladakh Bachelor of Business Administration Entrance Examination,https://highereducation.ladakh.gov.in/,True,"Official Higher Education Ladakh single-window portal (verified live), the authoritative body for UG admissions including the University of Ladakh which offers BBA. Replaced the third-party collegedek"
Madhya Pradesh Bachelor of Arts Entrance Examination,https://epravesh.highereducation.mp.gov.in/,True,"Official MP Dept. of Higher Education ePravesh admission portal; UG (BA) admission is merit-based, provisional merit lists and seat allotment are published here. Replaces the prior third-party Shiksha"
Madhya Pradesh Bachelor of Business Administration Entrance Examination,https://epravesh.highereducation.mp.gov.in/,True,Same official MP ePravesh portal; BBA UG admission is merit-based with provisional merit lists/allotment published here. Replaces the prior third-party Shiksha link. Allotment/merit data is behind stu
Madhya Pradesh Pre Engineering Test,https://dte.mponline.gov.in/Portal/Services/OnlineCounselling/NW/Utilities/Citizen/frmYearWiseCutoff.aspx,True,Official DTE MP (MPOnline) year-wise cutoff utility for engineering/pharmacy/diploma counselling (admission now JEE-Main based via DTE). Page loaded; it is an ASP.NET filter form (course/institute/bra
Madhya Pradesh Pre Nursing Selection Test,http://esb.mp.gov.in/results/RESULT_25/PNST_GNMTST_RES25/default_Results.htm,False,"Official MP Employees Selection Board (ESB) result page for PNST/GNMTST 2025 (esb.mp.gov.in domain, from official search result). Could not WebFetch-verify (server TLS certificate chain error), but it"
Madhya Pradesh Pre Veterinary and Fisheries Test,https://esb.mp.gov.in/results/RESULT_22/PVFT_RES22/default_Results.htm,False,"Official MP ESB PV&FT result/merit page (esb.mp.gov.in domain, year 2022 result archive; RESULT_21 also exists). Could not WebFetch-verify due to ESB TLS certificate error, but it is the authoritative"
Maharaja Sayajirao University of Baroda Fine Arts Entrance Examination,https://msubaroda.ac.in/academics/FFA,False,Official MSU Baroda Faculty of Fine Arts page; admission is via programme-specific entrance tests and merit/provisional admission lists are posted here (e.g. Accessory Design merit list 2026-27). Coul
Maharashtra Bachelor of Science Nursing Common Entrance Test,https://medical2024.mahacet.org/NURSING-2024/instructions-downloadFile/CUTOFF%202024%20Nursing.pdf,False,"Official Maharashtra CET Cell BSc Nursing CAP 2024 cutoff PDF (medical2024.mahacet.org, the CET Cell counselling domain); general live cutoff portal is https://cetcell.mahacet.org/cutoff-explorer/. We"
Maharashtra Paramedical Common Entrance Test,https://dmer.maharashtra.gov.in/english/admission/paramedical-admission/,True,"Official DMER (Directorate of Medical Education & Research, Maharashtra) paramedical admission page, listing BPMT and B.Sc Optometry admission notices/process for AY 2025-26. The CAP counselling/merit"
Maharashtra Polytechnic Entrance Examination,https://poly25.dtemaharashtra.gov.in/diploma25/index.php/hp_controller/instwiseallotment,True,"Verified working: official DTE Maharashtra First Year Post-SSC Diploma (polytechnic) institute-wise CAP allotment page, listing 148+ institutes with downloadable CAP I-IV allotment/cutoff PDFs for 202"
Manipur Polytechnic Entrance Examination,https://dte.mn.gov.in/,False,"Directorate of Technical Education, Manipur is the authoritative body that publishes the polytechnic admission merit list (downloadable by application number/DOB). The site dte.mn.gov.in refused conne"
Meghalaya Bachelor of Business Administration Entrance Examination,https://nehu.ac.in/admission/announcement,False,NEHU (North-Eastern Hill University) BBA admission is CUET-UG/merit-based; final selection is via a university cutoff and merit list posted on the NEHU admission announcements page. Fetch failed on a 
Meghalaya Engineering Entrance Examination,https://megeducation.gov.in/dhte/pages/merit%20list.html,True,"Verified working: official Meghalaya Directorate of Higher & Technical Education (DHTE) merit list page, listing selected-candidate merit list PDFs for B.Tech admission (e.g. Nagaland University quota"
Meghalaya Polytechnic Entrance Examination,https://megeducation.gov.in/dhte/pages/merit%20list.html,True,"Verified working: official Meghalaya DHTE merit list page, listing 'Merit List of candidates selected for Diploma Level Engg/Pharmacy Courses' PDFs (AY 2021-22, 2020-21) plus Printing Technology diplo"
Mizoram Bachelor of Business Administration Entrance Examination,https://mzu.edu.in/category/admissions/,False,Official Mizoram University admissions section that lists selected/merit lists. UG (incl. BBA) admission is now CUET-based and MZU publishes campus/affiliated-college merit lists here. Replaces the th
Mizoram Engineering Entrance Examination,https://mzu.edu.in/merit-list-for-b-tech-regular-entry-mzueee-2025/,False,Official MZUEEE 2025 B.Tech (Regular Entry) merit list page on Mizoram University site (more specific than the homepage). Confirmed via search; could not fetch directly because mzu.edu.in throws an SS
Mizoram Polytechnic Entrance,https://dhte.mizoram.gov.in/page/mizoram-diploma-entrance-examination-2024-mdee-results,True,Fetched. Official Mizoram Dept. of Higher & Technical Education (DHTE) MDEE results page (Mizoram Diploma Entrance Examination for polytechnic admission). Links to the official MDEE 2024 results PDF (
Nagaland Engineering Entrance Examination,https://dte.nagaland.gov.in/index.php/jee/,True,"Fetched. Official Directorate of Technical Education, Nagaland page for JEE(Main)-based undergraduate engineering (B.E/B.Tech) admission; directs to jeemain.nta.nic.in. Nagaland has no separate state "
Nagaland Polytechnic Entrance,https://dte.nagaland.gov.in/index.php/results/,True,"Fetched. Official DTE Nagaland results page listing Diploma Entrance Examination (DEE) merit/selection lists for state Government Polytechnics & NTTC, e.g. MERIT-LIST-OF-APPLICANTS-TO-DIPLOMA-PROGRAMM"
Narsee Monjee Institute of Management Studies Law Aptitude Test,https://nlat.nmims.edu/,True,"Fetched. Official NMIMS NLAT/LAT law entrance exam portal (SVKM's NMIMS, Kirit P. Mehta School of Law) for BA LL.B.(Hons) and BBA LL.B.(Hons). Result/merit list is accessed via candidate login on the "
National Forensic Sciences University Forensic Science Entrance Examination,https://nfsu.ac.in/gujarat_merit_list,True,"Fetched. Official NFSU (Gandhinagar/Gujarat campus) merit list page carrying NFAT-based Forensic Science merit lists: B.Sc.-M.Sc. Forensic Science (First/Second/Third/Comprehensive call PDFs, AY 2025-"
National Institute of Mental Health and Neuro Sciences Bachelor of Science Neurophysiology Entrance Examination,https://www.nimhans.ac.in/academics/admissions,False,"Official NIMHANS admissions page (admission notifications, prospectus, entrance/merit results for UG B.Sc courses incl. Neurophysiology Technology). Selection is on entrance-test merit; published list"
National Rail and Transportation Institute Transport Technology Entrance Examination,https://gsv.ac.in/admission-notification/,True,"Official Gati Shakti Vishwavidyalaya (formerly NRTI), Vadodara admission-notification page (loads; lists 2026-27 admission brochure/notifications and B.Tech programs). B.Tech admission is via JEE Main"
National Standard Examination,https://www.iapt.org.in/exams.html,False,"Official IAPT National Standard Examination (NSEP/NSEC/NSEB/NSEA/NSEJS) page; IAPT publishes results, Minimum Admissible Score (MAS) and state/national merit lists at iapt.org.in (e.g. state cut-off P"
North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences Bachelor of Science Nursing Entrance Examination,https://neigrihms.gov.in/examsresults.html,True,Official NEIGRIHMS Examination Results page (loads; lists B.Sc Nursing entrance-exam result + PG merit lists). Admission/merit is NEET-UG-score based for this single institute; published output is a c
Odisha Diploma Entrance Test,https://skill.samsodisha.gov.in/diploma/Cutoffmark_Diploma.aspx,False,Official SAMS Odisha (SCTEVT/DTET) diploma 'Academic Session Wise Cut-Off Marks (%)' page. Note: Odisha discontinued the written Diploma Entrance Test (DET) from 2016-17; diploma admission is now Clas
Odisha Polytechnic Entrance Examination,https://skill.samsodisha.gov.in/diploma/Cutoffmark_Diploma.aspx,False,Same official SAMS Odisha diploma portal as Odisha DET; 'Academic Session Wise Cut-Off Marks (%) Diploma' page plus institute/category-wise merit (MeritlistFresh.aspx) and allotment (Dip_SeatAllotment
Online Facilitation System for Students Bihar University Admission,https://www.ofssbihar.in/Higher-Education/index.aspx,False,Official OFSS Bihar (BSEB) portal for Intermediate/Class-11 and graduation admissions; college/stream-wise selection (merit/cut-off) lists are published per round on the OFSS portal (ofssbihar.net/ofs
Panjab University Design Entrance Examination,https://design.puchd.ac.in/show-noticeboard.php,False,Official noticeboard of PU's School of Design where B.Des merit/admission notices are posted; server refused connection (ECONNREFUSED) at fetch time so could not confirm live. B.Des (Fashion & Lifesty
Paramedical State Common Entrance Test,https://wbjeeb.nic.in/jenpas-ug/,False,"Generic multi-state label; the representative official body is WBJEEB's JENPAS-UG (Joint Entrance for Nursing, Paramedical & Allied Sciences). Official portal wbjeeb.nic.in/jenpas-ug; opening/closing "
Puducherry Bachelor of Business Administration Entrance Examination,https://www.centacpuducherry.in/,True,"Puducherry UG (incl. BBA) admission is handled by CENTAC (Centralised Admission Committee, Govt. of Puducherry); homepage links live UG Non-NEET (Arts/Science/Commerce) draft & revised merit lists. Th"
Puducherry Polytechnic Entrance,https://www.centacpuducherry.in/,True,"CENTAC (Centralised Admission Committee, Govt. of Puducherry) conducts Puducherry polytechnic/diploma admission. Homepage publishes round-wise merit lists and cut-off pages (e.g. .../htmlpages/<year>/"
Punjab Bachelor of Business Administration Entrance Examination,https://cetug.puchd.ac.in/,False,Sheet pointed to a generic Shiksha course page (wrong). Panjab University BBA admission is via PU-CET (UG); merit list/cutoffs published at cetug.puchd.ac.in (UG admissions: ugadmissions.puchd.ac.in/m
Punjab Joint Entrance Test Diploma,https://punjabteched.com/,True,PSBTE & IT (Punjab State Board of Technical Education & Industrial Training) conducts Punjab diploma/polytechnic admission (Punjab JET). Official site punjabteched.com (frameset) carries the Diploma A
Punjab State Board of Technical Education Polytechnic Admission Test,https://punjabteched.com/,True,"Same conducting body as Punjab JET Diploma: PSBTE & IT, punjabteched.com. Diploma admission merit lists and seat allotment are accessed via the Punjab Diploma Admission link (login-gated); diploma exa"
Rabindra Bharati University Entrance,https://www.rbu.ac.in/home/noticeall,True,"Official RBU notices page; fetched OK. Carries admission and merit-list publication notices (e.g. '1st merit list 4-year UG Programme (B.F.A.) under NCCF', dated 23 June 2026). Actual merit lists are "
Rajasthan Bachelor of Business Administration Entrance Examination,https://dceapp.rajasthan.gov.in/DCE_Application/SearchMeritNew.aspx,False,"Replaced the wrong Shiksha link. Rajasthan BBA admission to govt colleges is merit-based (Class-12 marks, no separate entrance) and handled by Dept of College Education; this is the official central m"
Rajasthan Engineering Admission Process,https://reap2025.com/seat-allotment.php,False,"Official REAP (Centre for Electronic Governance, Govt of Rajasthan) seat-allotment/cutoff page; confirmed via search as the live REAP 2025 counselling portal. WebFetch returned HTTP 403 (bot-block), s"
Rajasthan University of Health Sciences Entrance Examination,https://ruhsraj.org.in/,False,Official RUHS site is ruhsraj.org.in (the old ruhsraj.org/admission/ has an invalid TLS certificate). RUHS conducts NEET-based counselling and publishes cutoffs/closing ranks here. Both domains return
Rajiv Gandhi Institute of Petroleum Technology Bachelor of Technology Entrance Examination,https://www.rgipt.ac.in/BTech-Admission-2025-26/assets/pdf/Cutoff%20List%20Round%201%20first%20seat%20allotemnt%202025.pdf,True,Official RGIPT B.Tech 2025-26 Round-1 first-seat-allotment cutoff PDF; fetch returned a valid PDF (105 KB). Parent admission page: https://www.rgipt.ac.in/BTech-Admission-2025-26/ . PDF is a scanned/n
Rashtriya Raksha University (Police),https://rru.ac.in/admission,False,"Official admission page of Rashtriya Raksha University (national police/security university, Gandhinagar); confirmed via search. Program-wise merit lists are published as separate pages (e.g. https://"
Sikkim Bachelor of Business Administration Entrance Examination,https://cus.ac.in/index.php/en/admissions-2025-26-all-info-page,False,"Replaced the wrong Sikkim Manipal University Shiksha link. Homepage cus.ac.in is Sikkim University / Central University of Sikkim; UG admission (incl. BBA) is CUET-based, with merit lists/info on this"
Sikkim Polytechnic Entrance Examination,https://www.sikkim.gov.in/departments/education-department/technical-education-in-sikkim,True,"Official Sikkim Govt (HRDD) technical-education page covering the state polytechnics (ATTC, CCCT). Polytechnic diploma admission is run by the Directorate of Technical Education, HRDD; merit lists are"
Sir Jamsetjee Jeejebhoy School of Art Entrance Examination,https://cetcell.mahacet.org/,False,BFA admission to Sir JJ School of Art is through MAH-AAC-CET conducted by the Maharashtra State CET Cell. cetcell.mahacet.org is the official CET-cell body (confirmed via search; returns HTTP 403 to a
St Xavier's College Entrance Examination,https://entrancetest.xaviers.edu/,True,Official St Xavier's College Mumbai Entrance Test (XET) portal where UG merit lists/results are published. Selection = 60% XET + 40% Class 12. Page loads as a JS app (no static table). already_has_dat
Tamil Nadu Bachelor of Business Administration Entrance Examination,https://www.tngasa.in/,True,Official Tamil Nadu Govt Arts & Science Colleges Admission (TNGASA) online counselling portal. BBA admission uses the TNGASA general rank list based on Class 12 marks; college-wise rank/merit lists ar
Tamil Nadu Dr Ambedkar Law University Entrance Test,https://tndalu.ac.in/admission-cut-off-mark-2025-26,True,"Official TNDALU page titled 'LAW ADMISSION CUT-OFF MARKS' listing ~12 downloadable cutoff PDFs by program/round/category (5-Year B.A.LL.B affiliated colleges, 3-Year LL.B, SOEL 5-Year Honours, 7.5% sp"
Tata Institute of Social Sciences Bachelor Admission Test,https://admissions.tiss.edu/,False,Official TISS admissions portal (also reachable at admissions.tiss.ac.in). UG/Bachelor admission is now via CUET-UG; TISS publishes campus/course-wise merit lists rather than separate cutoff scores. W
Tata Institute of Social Sciences Bachelor of Vocation Agriculture Entrance Examination,https://sve.tiss.edu/TISS/index.php?p=viewProgramme&programmeId=2,True,Official TISS School of Vocational Education programme page for the Bachelor in Agriculture (B.Voc). Admission details are via the Admission Brochure/Timeline (sve.tiss.edu/admission); no static cutof
Tripura Polytechnic Entrance Examination,https://highereducation.tripura.gov.in/sites/default/files/DEEET_2026_Provisional_Common_Merit_List.pdf,True,"Tripura polytechnic/diploma admission is via DEEET (Diploma Engineering Entrance Examination of Tripura), conducted by the Directorate of Higher Education, Govt of Tripura. The technical-education sec"
Uttar Pradesh Common Nursing Entrance Test,https://abvmuup.edu.in/cnet.php,True,"Official CNET (Common Nursing Entrance Test) page of Atal Bihari Vajpayee Medical University UP. Confirmed it is the CNET exam page; results, merit list and counselling are served through the linked c"
Uttarakhand Joint Entrance Examination Polytechnic,https://admissions.ubterjeep.co.in/,True,"Official UBTER JEEP Admission and eCounselling portal (Uttarakhand Board of Technical Education) for polytechnic admissions. Verified live: lists seat-matrix PDFs (Group-E engineering, Group-P pharmac"
Uttarakhand Nursing Entrance Exam,https://www.hnbumu.ac.in/,True,"Hemwati Nandan Bahuguna Uttarakhand Medical Education University (HNBUMU), Dehradun conducts the Uttarakhand Nursing entrance exam. Homepage verified live and links the 'Uttarakhand Nursing/Paramedica"
